Message,Target
seriously killer hot chai latte .,1
"no allergy warning menu , waitress absolutely no clue meal not contain peanut .",0
boyfriend try Mediterranean Chicken Salad fall love .,1
rotate beer tap highlight place .,1
pricing bit concern Mellow Mushroom .,0
bad Thai .,0
stay Vegas breakfast .,1
want server great perfect service .,1
pizza selection good .,1
"strawberry tea , good .",1
highly unprofessional rude loyal patron !,0
"overall , great experience .",1
spend money .,0
regular toast bread equally satisfying occasional pat butter ... Mmmm ... !,1
Buffet Bellagio far anticipate .,0
"drink weak , people !",0
# ?,0
", feel like chip buy , not house .",0
disappointing dinner go dessert .,0
chip sal amazing ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,1
will return .,0
new fav Vegas buffet spot .,1
seriously not believe owner unexperienced employee run like chicken head cut .,0
", sad .",0
"feel insult disrespect , talk judge human like ?",0
"steakhouse properly cook steak , understand !",0
not impressed concept food .,0
only thing crazy guacamole like purÃ © ed .,0
"postino , hope experience well",0
get food poisoning buffet .,0
bring fresh batch fry think yay warm but no !,0
"hilarious , yummy Christmas Eve dinner remember big fail entire trip .",0
"needless , will go anytime soon .",0
place disgusting !,0
"time eat , caring teamwork professional degree .",1
RI style calamari joke .,0
", garlic fondue , barely edible .",0
"barely stomach meal , but complain business lunch .",0
"bad , lose heart finish .",0
take forever bring check ask .,0
one scene restaurant but ... definitely lose love !,0
disappointing experience .,0
"food par Denny , , not good .",0
"want wait mediocre food downright terrible service , place .",0
WAAAAAAyyyyyyyyyy rate say .,0
will go .,0
place fairly clean but food simply worth .,0
place lack style ! !,0
"sangria half glass wine $ 12 , ridiculous .",0
bother come .,0
"meat pretty dry , sliced brisket pull pork .",0
"building pretty neat ; bathroom pretty trippy , but eat .",0
equally awful .,0
probably not hurry .,0
slow seating reservation .,0
not good stretch imagination .,0
cashew cream sauce bland vegetable undercooked .,0
"chipolte ranch dipping sause tasteless , thin water no heat .",0
"bit sweet , not spicy , lack flavor .",0
disappointed ! !,0
place horrible way overpriced .,0
"maybe vegetarian fare , but twice think average well .",0
busy know .,0
table outside dirty lot time worker not friendly helpful menu .,0
"ambiance not feel like buffet setting , but douchey indoor garden tea biscuit .",0
Con : spotty service .,0
"fry not hot , burger .",0
but come cold .,0
"food come , disappointment ensue .",0
real disappointment waiter .,0
husband say rude ... not apologize bad food .,0
only reason eat fill night binge drink carb stomach .,0
"insult , profound deuchebaggery , outside smoke break serve solidify .",0
order taco ' think customer service ask combo ala cart ?,0
disappointed blame need place door .,0
rave review wait eat ...... disappointment !,0
Del Taco pretty nasty avoid possible .,0
not hard decent hamburger .,0
but like .,0
hell no,0
get well service pizza place door service receive restaurant .,0
"know big deal place , but will "" ya'all "" .",0
immediately say want talk manager but not want talk guy shot fireball bar .,0
ambiance well .,0
"unfortunately , only set disapppointment entree .",0
food good .,0
"server suck , wait , correction , server Heimer suck .",0
happen pretty .... put .,0
"bad cause know family own , want like place .",0
overprice get .,0
vomit bathroom mid lunch .,0
"keep look time soon 35 minute , no food .",0
"place eat no circumstance return , top list .",0
start tuna sashimi brownish color obviously fresh .,0
food average .,0
sure beat nachos movie but expect little bit come restaurant .,0
", Ha Long Bay bit flop .",0
problem charge $ 11.99 sandwich no big Subway sub ( offer well vegetable ) .,0
Shrimp- unwrap ( live only 1/2 mile Brushfire ) literally ice cold .,0
"lack flavor , undercooked , dry .",0
impressive place close .,0
avoid place stay Mirage .,0
refrie bean come meal dry crusty food bland .,0
spend money time place .,0
lady table find live green caterpillar salad .,0
presentation food awful .,0
tell disappointed .,0
think food flavor texture lacking .,0
Appetite instantly go .,0
overall not impressed not .,0
"experience underwhelming , think Ninja Sushi time .",0
", waste life , pour salt wound draw time take bring check .",0
"not sure lose - flat character audience , nearly half walk .  ",0
"attempt artiness black & white clever camera angle , movie disappoint - ridiculous - acting poor plot line non - existent .  ",0
little music speak .,0
good scene movie Gerardo try find song keep run head .,1
"rest movie lack art , charm , mean ... emptiness , work guess .  ",0
waste hour .,0
"see movie today think good effort , good message kid .  ",1
bit predictable .,0
love casting Jimmy Buffet science teacher .,1
baby owl adorable .,1
"movie show lot Florida good , look appealing .  ",1
Songs good Muppets hilarious .,1
Cool .,1
""" right case "" movie deliver right face .  ",1
"average act main person , low budget clearly .  ",0
"review long overdue , consider Tale Sisters single great film .  ",1
"gem against movie term screenplay , cinematography , act , post - production , editing , directing , aspect film - making .  ",1
"practically perfect â true masterpiece sea faux "" masterpiece .  ",1
"  structure film easily tightly construct history cinema .  	 1 
 think no film vitally important occur minute .  	 1 
 word , content level film easily fill dozen film .  	 1 
 right mind ask movie ?  	 1 
 simply high , superlative form cinema imaginable .  	 1 
 yes , film require significant puzzle - solving , but piece fit create beautiful picture .  	 1 
 short film certainly pull no punch .  	 0 
 graphic far good game .  	 0 
 number good TH game series .  	 1 
 deserve strong love .  	 1 
 insane game .  	 1 
 massive level , massive unlockable character ... massive game .  	 1 
 waste money game .  	 1 
 kind money waste properly .  	 1 
 actually , graphic good time .  	 1 
 today graphic crap .  	 0 
 Canada , fun game , aye .  	 1 
 game rock .  	 1 
 buy , play , enjoy , love .  	 1 
 pure BRILLIANCE .  	 1 
 flick doom conception .  	 0 
 idea lame - minor character mediocre pg-13 film , complete non - sequel change tone PG - rate family movie .  	 0 
 bit interested .  	 0 
 not only only confirm film unfunny generic , but manage away entire movie ; not exaggerate - moment , plot point , joke tell trailer .  	 0 
 but not funny .  	 0 
 but talented Carrell save .  	 0 
 co - star fare well , people like Morgan Freeman , Jonah Hill , Ed Helms waste .  	 0 
 story predictable lazy .  	 0 
 only real effect work presence animal , integration scene bad obvious blue / green - screen work see .  	 0 
 but cost , translate quality , sure .  	 0 
 film succeed despite , , obviously meagre budget .  	 1 
 glad film obvious choice , less film certainly .  	 1 
 addition have lovely song write , french Cancan boast cut lead lady grace screen .  	 1 
 hard not fall head - - heel love girl .  	 1 
 negative , insipid cause regret 2 hour life waste screen .  	 0 
 long , whiny pointless .  	 0 
 but recommend wait future effort , let .  	 0 
 Excellent cast , story line , performance .  	 1 
 totally believable .  	 1 
 Anne Heche utterly convincing .  	 1 
 Sam Shepard portrayal gung ho Marine sober .  	 1 
 sat rivet tv screen .  	 1 
 resound 9 10 .  	 1 
 think Tom Hanks good actor .  	 1 
 enjoy read book child little .  	 1 
 disappointed movie .  	 0 
 character totally annoying voice give feeling fingernail chalkboard .  	 0 
 totally unnecessary train / roller coaster scene .  	 0 
 absolutely no warmth charm scene character .  	 0 
 movie totally grate nerve .  	 0 
 performance not improve improvisation , actor twice worry : not only deliver line , but line good .  	 0 
 , honestly , not good .  	 0 
 dialogue follow line , fit surrounding .  	 0 
 crackle unpredictable , youthful energy - but honestly , find hard follow concentrate meander badly .  	 0 
 generally great thing .  	 1 
 worth 2 hour time , .  	 0 
 suspense builder good , & cross line G PG .  	 1 
 especially like non - cliche choice parent ; movie , predict dialog verbatim , but writing movie well selection .  	 1 
 want movie not gross but give chill , great choice .  	 1 
 Alexander Nevsky great film .  	 1 
 amazing film artist , important live .  	 1 
 glad pretentious piece s * * * plan Dodge stratus Big shot ... go to help movie maker restrained movie business "" QuÃ © bec .  ",0
movie give 10 year .,1
"movie need word - - mouth promote , .  ",1
"overall , film interesting think - provoking .  ",1
"plus , - pace suit relatively short run time .  ",1
look .,1
give 10,1
Wind Lion write superbly act .,1
true classic .,1
actually turn pretty decent far b - list horror / suspense film .,1
definitely worth check .,1
problem script .,0
horrendous .,0
believable .,0
only suspense feel frustration retarded girl .,0
MANNA HEAVEN terrific film predictable unpredictable time .,1
scene funny occasionally touching character evaluate life go .,1
cast veteran actor nostalgia trip .,1
Ursula Burton portrayal nun touching funny time make fun nun church .,1
"look movie terrific cast , good music(including Shirley Jones rendition "" way look tonight "" ) , uplifting ending , try .  ",1
think disappoint .,1
"frankly , Cotton club Unfaithful , kind embarrass watch Lane Gere film , BAD .  ",0
"acting bad , dialog extremely shallow insincere .  ",0
"predictable , chick flick .  ",0
politically correct .,0
disappointing .,0
"only thing worth watch scenery house , beautiful .  ",1
"love Lane , but never see movie lousy .  ",0
hour half wish bring .,0
but term writing fresh bold .,1
"acting help writing ( maybe idiot - savant sister play well ) , real joy watch .  ",1
directing cinematography good .,0
"movie boring , find occupy peaking paper instead watch ( never happen Columbo movie !  ",0
") , embarrassing look away .  ",0
directing pretentious .,0
"scene "" oh - - mature "" neighbour - girl misplace .  ",0
generally line plot weak average episode .,0
"scene debate not sack trumpeter ( falsely accuse murder ) pure horror , stupid .  ",0
"applause give "" prelude "" .  ",1
like .,1
great film great director .,1
movie edge seat somewhat afraid car end night .,1
music film nice .,1
advise .,1
brilliant !,1
10 - oct,1
like movie way .,1
only problem think actor play villain low rent Michael Ironside .,0
rock world certainly no social physical outlet .,1
", fact overall , tremendously boring movie .  ",0
"no chemistry Ben Affleck Sandra Bullock film , understand consider leave wife - - chick supposedly knock .  ",0
moment movie need excruciatingly slow move .,0
"poor remake "" Best Friends wedding "" .  ",0
", great disappointment .  ",0
"not believe actor agree "" film "" .  ",0
not stand watch long fear lose I.Q.,0
guess network air dribble watch put .,0
"IMDB rating only low 1 awful , time negative number case .  ",0
"see "" Mirrormask "" night unsatisfactory experience .  ",0
"unfortunately , inexperience direction mean scene scene pass little way dramatic tension conflict .  ",0
"central theme film handle ineptly , stereotypically no depth imagination .  ",0
pretty picture world not piece work flawed core .,0
"hour half waste time , follow bunch pretty high schooler whine cry life .  ",0
"relate , hell barely understand .  ",0
definitely cult classic worth view share .,1
"movie pure disaster , story stupid editing bad see , confuse incredibly .  ",0
fish badly underwater shot repeat thousand time film .,0
"truly , truly bad film .  ",0
"acting terrible , writing bad .  ",0
only possible way movie redeem MST3 K fodder .,0
pay .,0
", real treat Anthony Quinn play Crazy Horse .  ",1
BORING !,0
no plot whatsoever !,0
", no plot .  ",0
horrible !,0
bad hour half life!Oh gosh !,0
walk theatre minute relief !,0
hate movie like .,0
"yeah , movie pretty suck .  ",0
no PLOT STORYLINE ! !,0
"movie , bring pillow girlfriend / boyfriend occupy .  ",0
awful .,0
think go movie dislike .,0
good thing ticket only cost dollar mad pay $ 7.50 crap .,0
identify character cardboard cutout stereotype ( predictably reverse - stereotype ) .,0
"bad film , bad writing , good actor .... ugly cartoon craft Paul Haggis people handle but bold stroke storytelle .... picture paint crayon .  ",0
"crash depressing little , provoke emotion , but teach know racism prejudice bad thing .  ",0
", like movie empowerment woman ; not movie like .  ",1
brain attempt shut - primal impulse self - preservation .,0
leave shatter experience watch ' film ' take good hour fully recover .,0
movie join Revenge Boogeyman Zombiez hellish trinity horror film .,0
certainly not mean distinction good way .,0
mean terrible way .,0
film no redeem feature .,0
appalling .,0
"artless camera - work endlessly present ugly setting imaginable , i.e.  ",0
story stupid .,0
script isÂ  script ?,0
kid annoying .,0
lead man charisma - free .,0
"utterly merit level , akin torture .  ",0
â torture .,0
maybe reasonable explanation atrocity .,0
not pleasant voyage self - discovery .,0
highly unrecommended .,0
"premise sound stupid , .  ",0
"yes , bad .  ",0
recommend .,0
excellent performance Ms.,1
"Garbo , show right bat talent carry silent era ( want silent work , but Netflix stock .  ",1
great renowned silent screenwrit Frances Marion miss step go silent sound .,1
"movie suffer writing , need suspense .  ",0
close up .,0
but movie drag hero work freedom .,0
but movie definitely average rent .,0
"love !  	 1 
 movie BAD .  	 0 
 bad .  	 0 
 film way long .  	 0 
 definitely bad one .  	 0 
 movie receive great quality film age .  	 1 
 John Wayne incredible job young movie industry .  	 1 
 screen presence shined think senior actor screen .  	 1 
 think old John Wayne film .  	 1 
 enjoy movie .  	 0 
 think see movie half boring self - indulgent piece junk .  	 0 
 probably well director spend movie showcase art work , noteworthy .  	 0 
 thing like character get punch face , gallon blood spew forth soon .  	 0 
 Jamie Foxx absolutely Ray Charles .  	 1 
 performance simply genius .  	 1 
 own film , Spacek own Coal Miner daughter "" Quaid own "" Great Balls Fire .  ",1
"  fact , hard remember Ray Charles act , not play man .  	 1 
 Ray Charles legendary .  	 1 
 Ray Charles ' life provide excellent biographical material film , go movie musician .  	 1 
 Hitchcock great director .  	 1 
 ironically find film total waste time watch .  	 0 
 secondly , Hitchcock pretty perfect thriller chase movie .  	 1 
 pander audience sabotage film .  	 0 
 story lack certain energy .  	 0 
 plot simply rumble like machine , desperately depend addition new scene .  	 0 
 usual Hitchcock logic flaw .  	 0 
 Mishima extremely uninteresting .  	 0 
 chilly , unremarkable movie author live / work chilly abstruse culture .  	 0 
 flat reenactment hold attention emotionally adrift stagy .  	 0 
 rest sit awful ... soldier singe song masculinity pledge , hairsplitte purity , admiration sword , etc .  	 0 
 bore piece , kill momentum movie , quick .  	 0 
 Schrader resume lousy , amateurish film .  	 0 
 watch movie , 80 , love .  	 1 
 totally fascinate music , dancing ... .  	 1 
 , recently watch thing DVD , completely strike extremely stupid storyline - contain hole , inconsistency - frankly - lot crap - horrid dancing .  	 0 
 mean , realistic world , never get ballet repertory ... thing pathetic .  	 0 
 character development lack depth .  	 0 
 Woa , talk awful .  	 0 
 not waste time .  	 0 
 horrible .  	 0 
 bad , sappiest dialogue ... .  	 0 
 but unwatchable direction .  	 0 
 poor actor .  	 0 
 tell talent not only pathetic line speak but director give no action .  	 0 
 check director filmography site film chance .  	 0 
 not good tv flick .  	 0 
 good intention film great , film great film .  	 1 
 film great actor , master director , significant theme -- - significant theme , undertone fifty existential world - weariness , aerial scene ought thrill sense imagination , character deeply care .  	 1 
 regrettably , film fail .  	 0 
 movie lack visual interest , drama , expression feeling , celebration patriotism underline narrative .  	 0 
 no actress worse June Allison movie .  	 0 
 , enjoy watch .  	 1 
 unfortunately , bad movie plain bad .  	 0 
 bad script , bad direction horrible acting plain bad !  	 0 
 dialogue suck .  	 0 
 cinematography - call - suck .  	 0 
 soundtrack suck .  	 0 
 acting suck .  	 0 
 concert sequence suck .  	 0 
 nice .  	 1 
 funny .  	 1 
 funny .  	 1 
 overall , movie cheap trash .  	 0 
 but movie not funny , consider ridiculousness .  	 0 
 come feel angry .  	 0 
 * * * spoiler * * * ( ) say , SURFACE superbly craft .  	 1 
 cinematography simply stunning ( ) fx not state - - - art .  	 1 
 Conceptually , offer little bit everything- everybody ( parent , kid , fantasy and/or fx fan ) .  	 1 
 single sour note strike act - wise , ; surprisingly solid casting , .  	 1 
 thing consider , job .  	 1 
 thank good movie like release .  	 1 
 good mexican movie ! , understood , mexican , no matter identify feel .  	 1 
 rank highly great noir - crime - drama , incredible performance Belmondo Lino Ventura .  	 1 
 attention give character , complex psychological portrayal , detail loyalty , treachery , love , hope , tremendous .  	 1 
 excellent drama , excellent thriller , excellent film .  	 1 
 good Melville .  	 1 
 film simply incredible .  	 1 
 truly journey eye soul child .  	 1 
 BLACK WATER thriller manage completely transcend limitation ( indie flick ) continually subvert expectation emerge intense experience .  	 1 
 performance real gripping , crocdodile extremely , Black Water website believe real croc swamp location fabulous .  	 1 
 thoroughly enjoy Christopher Eccleston take control TARDIS continuation series .  	 1 
 not sure try film .  	 0 
 turn good day feel night disturb memory guess succeed .  	 0 
 lot beautiful place .  	 1 
 force , like movie .  	 0 
 , lame .  	 0 
 movie pi**ed .  	 0 
 start jerky camerawork .  	 0 
 see theater think go sick .  	 0 
 summary : witticism witty .  	 0 
 plot - , say let .  	 0 
 acting bad .  	 0 
 bad .  	 0 
 Billy Bob rise script , bad .  	 0 
 camerawork - , bad .  	 0 
 rating : 1 10 .  	 0 
 amazing finale possibly BEST trilogy time !  	 1 
 Kieslowski never cease amaze .  	 1 
 favourite director , talented director history cinema .  	 1 
 use colour french flag film short incredible , shot , scene like work art .  	 1 
 visually appeal movie see .  	 1 
 subtle connection film awesome .  	 1 
 mention huge spoiler , love ending , character film remain survivor ferry disaster , Valentine young judge , old man watch tv , solidify happiness suffering deal year .  	 1 
 think well way end film , but smile face , great way wrap amazing film trilogy !  	 1 
 recommend love film , movie , ... work Art !  	 1 
 10 10 movie trilogy .  	 1 
 literally vomit watch film .  	 0 
 think people find roth pearl .  	 1 
 performance , award , stunning .  	 1 
 story tell eloquently Francis ford Coppola 25 year early , unfold gradually leave room character develop .  	 1 
 wonderful location lie story contrast .  	 1 
 beautiful direct film Nicola roeg wih sublime cast .  	 1 
 translate movie living movie 5 - year working experience find offensive intelligence .  	 0 
 but strive greatness poetry , but deliver muddle ( ridiculous ) story , bunch disparate scene , pretentious dialogue ... bad kind movie reviewer accurately define pretentious crap "" .  ",0
"find movie intelligent masterful , only - intelligence imagination obviously try sense pitiful attempt ( human nature try sense thing ) .  ",0
"thing : tolerate political incorrectness , artistic freedom suspension disbelief , but slavic female character .  ",0
fun funny movie .,1
highly entertaining angle .,1
"feature outlandish array memorable , psychotic but lovable nut .  ",1
"enjoyment run , play game , dangerous .  ",1
sweet moment .,1
telephone repair man funny reaction nuts bitchy boss truly genuine .,1
character film tremendously play .,1
find funny .,1
actually smart movie .,1
brilliant twist ending .,1
"  love .  	 1 
 ending , perfect ... shed tear .  	 1 
 thrilled see movie like .  	 1 
 never forget .  	 1 
 not cult ... cult classic .  	 1 
 depth character man underneath .  	 0 
 Malta setting dry barren dialogue .  	 0 
 movie terrible .  	 0 
 hockey scene terrible , defenseman play like 5 year old , goalie diving shot 10 foot wide net , etc .  	 0 
 see , waste time !  	 0 
 movie drama ridiculous !  	 0 
 start watch but believe character .  	 0 
 particular relationship bakery assistant waitress work .  	 0 
 superficial movie give feeling watch play film .  	 0 
 character ' stagey ' storyline lot like stage farce .  	 0 
 time pyromaniac waylay assistant bored care happen switch .  	 0 
 Glad pay .  	 0 
 laugh smile .  	 0 
 but big yawn ...  	 0 
 good watch .  	 1 
 educational child 1 8 year old .  	 1 
 Barney definitely super DE duper .  	 1 
 pretty funny .  	 1 
 Babie Bop cute .  	 1 
 kid cool .  	 1 
  but "" storm Trooper "" not bad list wonderfully terrible movie .  ",0
lame .,0
guy say well dialogue potted plant right .,0
movie stupid .,0
"love bad movie , not watch movie .  ",0
shameful .,0
television series 10 plus .,1
"writer "" smack "" think good actor actress bonus . character real .  ",1
tape episode find watch .,1
know give 10 + !,1
"know exactly movie , but latch endearing movie special family memory .  ",1
totally absolutely recommend movie like good wholesome family movie exactly .,1
thing kid absolutely hilarious watch .,1
good movie show strong sibling bond .,1
"interesting , action , suspense , unneeded controversy .  ",1
act cinematography solid .,1
definitely worth check .,1
Damian talented versatile way writing portray different Characters screen .,1
movie cut edge .,1
"pleased know modern day genius , let passion art drive take audience .  ",1
"new character memorable , find forget .  ",0
feel go Ireland absolutely whatsoever .,0
"scared , horrified , sympathetic character ; simply annoying .  ",0
jerky camera movement annoying .,0
plot pretty cheap horror .,0
"pathetic attempt character depth , but work rest plot .  ",0
"guess suppose clever twist , shed light situation , but stupid .  ",0
", probably leave shelf .  ",0
"Elias Koteas , Jack Palance play good role Angelina hot get naked . Billy Drago appear cool usual + cameo Sven ole Thorsen help enjoyable movie good acting decent budget .  ",1
awesome movie buy Ebay .,1
"love story line poler bear kinda cute . but question Fort Steele , ask away :)  ",1
totally unfunny movie pathetic unrealistic 90 minute utter torture probably look watch 70000 time !,0
Lucy Bell high crap sink low depressing .,0
movie sick watch slacker excuse stupid action 90 minute .,0
"God , never 90 minute !  ",0
"think wonderful part ( literally , "" wonder "" ) excerpt work .  ",1
"set ( especially design work camera ) amazing .... stylize , beautiful effective .  ",1
exemplar set designer .,1
story powerful exploration nature man art .,1
"watch film , want learn work artist .  ",1
"highly recommend movie interested art , poetry , theater , politic , japanese history .  ",1
", Wind Lion , wonderful rendering America imperial age .  ",1
") make story different terrific production value - faultless photography , composition editing - terrific casting - underappreciated Brian Keith play bully Teddy - vivid history .  ",1
"Wind Lion tell largely eye son , member family identify character , Sean Connery noble brigand , Candace Bergen feisty heroine , John Huston wily John Hay Steve Kanaly spiffy , radiant , ruthless - lieutenant , Roosevelt "" Big Stick "" .  ",1
high adventure good .,1
"think Robert Ryans good film , portray like father , schizophrenic real life,(my father ) never murder but affect second world war bad .  ",1
have humour day apt .,1
"( mother brother this)when see Robert Ryan portray type man , good imitation type individual , impressed .  ",1
song Cover Girl old - fashioned not tuneful .,0
annoying thing ' Cover Girl ' way Rita Hayworth pedestal .,0
"unfortunately , ' Cover Girl ' example Hollywood exploit woman financial gain .  ",0
non - linear narration flashback articulate .,1
good cinematography make Monica Bellucci look beautiful .,1
good commentary today love undoubtedly film worth see .,1
"people timer film making , think excellent job ! !  ",1
"popular cinema , good house good reaction plenty laugh .  ",1
feel - good film feel come cinema !,1
northern humour positive community represent .,1
enjoy .,1
like .,1
seriously .,0
create unique feeling .,1
Vivian Schilling excellent job script .,1
world well 95 % garbage theatre today .,1
role play .,1
not screamy not masculine but right .,1
camera like movie .,1
cast role ready script .,1
"European , movie nice throwback time student 1980 experience live abroad interact nationality , circumstance slightly different .  ",1
fan ... movie suck bad .,0
bad Ticker !,0
& movie bad .,0
"only like 3 4 building , couple location maybe , & poor hummh !  ",0
blow .,0
"movie excellent!angel beautiful scamp adorable!his little yelp s scared , funniest part : scamp catch curtain Angel Scamp singe ' ve never feeling before' . totally recommend movie , come special edition June 20.the cover scamp garbage Angel underneath lid .  ",1
"not explain movie romantic , charming , hilarious , adorable . junkyard scene funny , junkyard dog special . funny laugh , kid love . buy come , new feature !  ",1
choose torture disgusting piece blatant american propaganda .,0
Americans - stupid hatred clichÃ © s admit .,0
"involve return school , acting utterly predictable bad , script pile garbage round .  ",0
"wish enter negative value , admin ?  ",0
"set bad , look place thunderbirds episode .  ",0
"use slow - motion needlessly repeat movie but back bad acting ( bad kind word ) , no continuity , scene throw no reason whatsoever , vehicle look like Corn Flakes box directorial style border stupidity .  ",0
"oh yeah , storyline pathetic .  ",0
hate write bad review film - especially like star - but film bad believe second proud .,0
not filmmaker director but hide head sand spend money time movie .,0
short - monumental waste time energy not recommend film .,0
come free dvd player buy but turn thing halfway embarrassed Howell .,0
1/10 - only no setting 0/10 .,0
"interesting premise , Billy Drago good dangerous nut - bag ( note : love Drago , Stephen McHattie Lance Hendrikson flick ; talk rage cheekbone ! ) .  ",1
"soundtrack terrible , .  ",1
"but acting -- professional Drago Debbie Rochon -- terrible , directing bad ( contributory ) , dialog chimp - like , camera work , barely tolerable .  ",0
", sets get big "" 10 "" "" oy - vey "" scale .  ",1
"yes , simplify thing sake brevity , core problem film - go real , fulfil explanation .  ",0
good job amusing .,1
"but convoluted plot convince , film watch weird , question glance .  ",0
"let girlfriend talk see - bad idea , hate .  ",0
15 minute movie not bad .,1
"Bela Lugosi totally extraneous , intone odd line .  ",0
"acting decidely wooden , no bad period Universal B movie .  ",0
"like Armand Assante & cable company summary sound interesting , watch , twice , probably .  ",1
believe screenwriter good job tie loose end .,1
8/10 score plot .,1
"will - like spoiler , want , but believe film worth time .  ",1
"wow , bad film .  ",0
"not frightening , barely comprehensible .  ",0
"plot hang , acting absolutely appalling .  ",0
not good camp value !,0
"expect Oscar material , but ?  ",0
iq particularly stupid mollusk not come .,0
film ( use word loosely ) insult movie - go public .,0
only involve know string narrative !,0
"get 1 10 , simply low .  ",0
"not , but watch recently Fox Movie Channel , disappointed .  ",0
"know contract player little control script , but acting bad script .  ",0
"Victor McLaglen bad , Brian DonLevy unrecognizable .  ",0
"consider relation screen Taylor Stanwyck , surprising little chemistry screen .  ",0
but premise film ridiculous : President U.S.,0
death row scene entirely unmoving .,0
only thing bad Taylor acting Stanwyck singing .,0
"producer go , miss entirely .  ",0
deeply impressed character play .,1
know see film great thing come gifted actor .,1
"cheap cheerless heist movie poor characterisation , lot underbite style stoic emoting ( think Chow Yun Fat Better tomorrow ) cheesy clichÃ © s throw abandon factory ready poorly execute flying judo roll la John Woo .  ",0
squibs look awful .,0
no point proceeding look remotely like America .,0
"plot , , derivative predictable ending like mercy killing .  ",0
awful dialogue hopeless overacting get shoot real waste space time .,0
"uneasy bad movie , but not scared .  ",0
dialogue compose thing little sense .,0
"30 minute footage waste mediocre elderly actor awkwardly babble overwrought pseudo - satanic gibberish corny teen Goth blush , Olde English , Latin not word .  ",0
directing sloppy well .,0
"hackneyed writing , certainly , but bad bad directing .  ",0
"course , acting blah .  ",0
acting cast scale balance perfectly overacting underacting .,0
", FINALLY , , ending great handle competent people not Jerry Falwell .  ",0
"love movie great portrayal family share up , but end know special love .  ",1
"see movie star Jaclyn Smith , but god good , come 12 year ago .  ",1
"movie contain - star cast , love open eye actor see .  ",1
"movie kind long length , but enjoy minute .  ",1
overall rate movie 10 1 - 10 scale .,1
"lifetime not air , know store sell let know - .  ",1
"particularly remember sense assault strident cord music blare little warning , meaning .  ",0
sort pap screen afternoon punish unemployed not have job .,0
"totally different , load understatement black comedy , film , but remember .  ",1
"movie create universe , fascinating way .  ",1
but movie get .,1
.,1
"hope team movie make movie , continue , kinda weird style .  ",1
"forget : casting superb , Trond Fausa AurvÃ¥g perfect role Bothersome Man , understand , .  ",1
movie good humorous comment life 2006 .,1
"find beautiful , enjoyable , uplifting .  ",1
"initially local site film , film Buffalo , intrigue .  ",1
later find lose power film .,1
entire audience applaud conclusion film .,1
"leave theater lilt step , joy heart hope human race .  ",1
Duris wholesome appearance give fine performance .,1
rest cast play .,1
Cinematography noteworthy include fine view Barcelona famed Gaudi tower .,1
minute film start have second thought .,0
half way film start dislike .,0
"time film end , not only dislike , despise .  ",0
film lack convincing script .,0
script look only rough draft write shooting begin finished script complete .,0
"thing happen , character personality change , plot twist occur no real reason script call .  ",0
cast good .,1
", worth check .  ",1
probably irritating see entire life .,0
indescribably annoying idiotic see .,0
bad .,0
"not understand , kind idiot produce mess place not mention season .  ",0
"script bad , bad â contain cheesiness unethical joke normally rate r nc-17 movie .  ",0
"casting horrible , cause bad Actors , period .  ",0
final word : real torture ! !,0
zillion time away reality .,0
watch washing machine twirl hurt eye .,0
rating : 0/10 ( Grade : Z ) note : bad Mother Cast pull daughter .,0
20th Century Fox ROAD HOUSE 1948 ) not only silly noir but implausible unmitigated bore movie .,0
"unconvincing cardboard character blandly write Edward Chodorov , produce , surprisingly direct Jean Negulesco expect great deal .  ",0
Widmark character turn unintentionally comical !,0
lose marble early proceeding totally implausible unconvincing .,0
mess movie - picture mar constant use studio set indoor exterior .,0
prompt documentary !,0
( spoiler ) movie huge disappointment .,0
problem not know start .,0
cast great .,1
"steve martin deliver funny performance middle - aged , upper class , uptight white guy .  ",1
add betty white jean smart great cast - play part .,1
but movie make lot mistake .,0
", racial stereotype racial joke offend .  ",0
movie litter overt racial slur black cast member return white depict moron boob .,0
"put race card aside , let look major flaw film : destroy latifa character .  ",0
no real plot .,0
not movie free .,0
STEAMBOAT WILLIE amazingly important film cinema history .,1
second appearance Mickey Mouse ( follow silent PLANE CRAZY early year ) probably famous film -- ground - breaking .,1
"hear Mickey speak , ton sound effect music film -- grant but huge crowd pleaser 1928 .  ",1
", see short 25 year , amazed timeless film actually .  ",1
"adorable see Mickey play "" Turkey Straw "" highly imaginative ( occasionally cruel ) way .  ",1
clever real crowd - pleaser -- film rank Mickey good film 80 wonderful year .,1
"bipolarity ruthless thug ( minute ruthless killer , minute Luv diaper commercial ) completely unconvincing .  ",0
"terribly disappointed film receive award accolade , especially far deserving work film .  ",0
original Body Soul ( 1947 ) masterpiece .,1
"John Garfield , Ann revere , Lilli Plmer , William Conrad , Canada Lee ... film great cinematographer grace screen .. James Wong Howe .  ",1
think redeem quality remake .,0
only bad film .,0
bad ... ... bad .,0
"movie solid example bad plot , bad idea way .  ",0
shame good actor like Thomerson James living mess like .,0
think bad .,0
"film terrible , but credit 1986 version , watchable .  ",0
"let start problemsâthe acting , especially lead professor , , bad .  ",0
script big flawed mess .,0
good example dumb writing establish turn zombie - student human remove necklace contain piece meteorite .,0
"Director Paul Matthews , write / direct weak 1995 monster movie "" Grim "" , clearly know pace film .  ",0
movie terribly boring place .,0
lighting awful .,0
